Test,Question,Word,Meaning,Sentence,POS,Deck
Manhattan Prep,Text Completion,salubrious,"health-giving, pleasant (of place)",1. odours of far less salubrious origin <br> 2. an over-priced flat in a none too salubrious area ,adjective,1
Manhattan Prep,Text Completion,disseminate,spread widely,health authorities should foster good practice by disseminating information,verb,1
Manhattan Prep,Text Completion,confound,cause surprise or confusion in,the inflation figure confounded economic analysts,verb,1
Manhattan Prep,Text Completion,espouse,adopt or support,she espoused the causes of justice,verb,1
Manhattan Prep,Text Completion,fallacious,based on a mistaken belief.,fallacious arguments,adjective,1
Manhattan Prep,Text Completion,slew,turn or slide violently or uncontrollably.,the Renault slewed from side to side in the snow,"verb, noun",1
Manhattan Prep,Text Completion,prevaricate,"speak or act in an evasive way, lie.",he seemed to prevaricate when journalists asked pointed questions,verb,1
Manhattan Prep,Text Completion,digress,diverge,I have digressed a little from my original plan,verb,1
Manhattan Prep,Text Completion,divagate,stray or digress.,,verb,1
Manhattan Prep,Text Completion,execrable,extremely bad or unpleasant.,execrable cheap wine,adjective,1
Manhattan Prep,Text Completion,euphemism,a mild or indirect word or expression substituted for one considered to be too harsh or blunt when referring to something unpleasant or embarrassing.,using “eliminate” as a euphemism for “kill”,noun,1
Manhattan Prep,Text Completion,euphuism,artificial elegance of language,his words possessed euphuistic quality,adjective,1
Manhattan Prep,Text Completion,eulogistic,"paying tribute(eulogy), to speak or write in high praise of","Shula passed away Monday, and was eulogized nationally all week",adjective,1
Manhattan Prep,Text Completion,assignation,romantic meetups,his assignation with an older woman,noun,1
Manhattan Prep,Text Completion,sanguine,optimistic,our typically sanguine friend,adjective,1
Manhattan Prep,Text Completion,countenance,admit as acceptable or possible. tolerated,such a rejection of precendent would be countenanced was unprecedented,verb,1
Magoosh Videos,Text Completion,do not mince words,to say what you mean clearly and directly,"The report does not mince words, describing the situation as ""ludicrous""",idiom,1
Magoosh Videos,Text Completion,whit,a very small part or amount.,the last whit of warmth was drawn off ,noun,1
Magoosh Videos,Text Completion,dissimilitude,dissimilarity or diversity.,,noun,1
Magoosh Videos,Text Completion,histrionic,excessively theatrical or dramatic in character or style.,a histrionic outburst,adjective,1
Magoosh Videos,Text Completion,inhibited,shy,"I could never appear nude, I'm far too inhibited",adjective,1
Magoosh Videos,Text Completion,churlish,rude,it seems churlish to complain,adjective,1
Magoosh Videos,Text Completion,overseer,"a person who supervises others, especially workers.",,noun,1
Magoosh Videos,Text Completion,martinet,a strict disciplinarian.,he had developed a reputation as a martinet,noun,1
Magoosh Videos,Text Completion,aplomb,"self-confidence or assurance, especially when in a demanding situation",even an outright fabrication was delivered with aplomb,noun,1
Magoosh Videos,Text Completion,dissemble,"pretend, conceal facts",children learn to dissemble at a surprisingly early age,verb,1
Magoosh Videos,Text Completion,feigned,not genuine or real,feigned bouts of sobbing,adjective,1
Magoosh Videos,Text Completion,flamboyant,marked by or given to strikingly elaborate or colorful display or behavior,,adjective,1
Magoosh Videos,Text Completion,aphorism,a concise statement of a principle,employed the use of aphorisms and pithy paragraphs,noun,1
Magoosh Videos,Text Completion,ignominy,deep personal humiliation and disgrace,She had to endure the ignominy of being forced to resign,noun,1
Magoosh Videos,Text Completion,revelry,noisy partying or merrymaking,his school had a reputation for revelry,noun,1
Magoosh Videos,Text Completion,carousing,drinking excessively (partying),In contrast to his later carousing,verb,1
Magoosh Videos,Text Completion,piecemeal,one piece at a time : gradually,science proceeds in a piecemeal fashion,adverb,1
Magoosh Videos,Text Completion,hackneyed,lacking in freshness or originality,"it's hackneyed, but true—the more you save the more you earn",adjective,1
Magoosh Videos,Text Completion,indulgent,"willing to allow excessive leniency, generosity, or consideration","she was perhaps a bit too indulgent with her children, who always seemed to get away with everything",adjective,1
Magoosh Videos,Text Completion,debonair,"urbane, polite",a debonair man in a suit and top hat,adjective,1
Magoosh Videos,Text Completion,wherewithal,money,didn't have the wherewithal for an expensive dinner,noun,1
Manhattan Prep,Text Completion,reproof,criticism for a fault,The fear of reproof prevented them from complaining.,noun,1
Manhattan Prep,Text Completion,preternatural,"extraordinary, psychic",She has a preternatural ability to charm people,adjective,1
Manhattan Prep,Text Completion,surly,arrogant and rude,the surly receptionist told us we'd have to wait outside in the rain,adjective,1
Manhattan Prep,Text Completion,foible,"weakness, minor flaws",better to shrug off old friends’ harmless foibles,noun,1
Manhattan Prep,Text Completion,canard,a false or unfounded report or story,The report about a conspiracy proved to be a canard,noun,1
Manhattan Prep,Text Completion,versatile,"having many uses or applications, (plastic)",versatile building material,adjective,1
