Test,Question,Word,Meaning,Sentence,POS,Deck
Manhattan Practice I,Text Completion,preposterous,contrary to reason or common sense; utterly absurd or ridiculous,a preposterous suggestion,adjective,1
Manhattan Practice I,Text Completion,pithy,concise,his characteristically pithy comments,adjective,1
Manhattan Practice I,Text Completion,terse,sparing in the use of words; abrupt.,a terse statement,adjective,1
Manhattan Practice I,Text Completion,primal,early stage in evelutionary development,stems from an arguably primal human need to venerate both men and gods,adjective,1
Manhattan Practice I,Text Completion,lionize,to treat as an object of great interest or importance,the widespread tendency to lionize retired leaders,verb,1
Manhattan Practice I,Text Completion,indemnify,"1. compensate (someone) for harm or loss. (get out of jail free card) <br>
2. insure/guarantee/secure","1. each of the parties shall indemnify me for all reasonable costs of defending such actions and proceedings <br>
2. the company has taken out insurance to indemnify its directors against liability",verb,1
Manhattan Practice I,Sentence Equivalence,anecdotal,"not necessarily true or reliable, because based on personal accounts rather than facts or research",while there was much anecdotal evidence there was little hard fact,adjective,1
Manhattan Practice I,Sentence Equivalence,actuarial,relating to actuaries(statisticians) or their work of compiling and analysing statistics to calculate insurance risks and premiums.,an actuarial consulting firm,adjective,1
Manhattan Practice I,Sentence Equivalence,quotidian,"daily, unextraordinary",the car sped noisily off through the quotidian traffic,adjective,1
Manhattan Practice I,Sentence Equivalence,fledgling,inexperienced,troupe of fledgling dancers could observe the real masters,adjective,1
Manhattan Practice I,Sentence Equivalence,torpid,sluggish/lethargic,we sat around in a torpid state,adjective,1
Manhattan Practice I,Sentence Equivalence,lithe,supple and graceful,"she lay gazing up at his tall, lithe figure",adjective,1
Manhattan Practice I,Sentence Equivalence,supple,flexible,her supple fingers,adjective,1
Manhattan Practice I,Reading Comprehension,underpin,"support, justify, or form the basis for",worldview underpinned by central and all-important Earth,verb,1
Manhattan Practice I,Reading Comprehension,worldview,a particular philosophy of life or conception of the world.,worldview underpinned by central and all-important Earth,noun,1
Manhattan Practice I,Reading Comprehension,juxtapose,place or deal with close together for contrasting effect,juxtapose two opposing views,verb,1
Manhattan Practice I,Reading Comprehension,indictment,"1. formal charge or accusation of a serious crime <br>
2. a thing that serves to illustrate that a system or situation is bad",an indictment of the Antiguan government,noun,1
Manhattan Practice I,Reading Comprehension,escapade,"an act or incident involving excitement, daring, or adventure",fluctuates from moral crisis to hilarious escapde,noun,1
Manhattan Practice I,Reading Comprehension,acclaim,praise enthusiastically and publicly,performed to much acclaim throughout Europe,noun,1
Manhattan Practice I,Reading Comprehension,corroborate,to prove true or support with evidence,corroborate the view that Earth is not central,verb,1
Manhattan Practice I,Reading Comprehension,rejoinder,"a reply, especially a sharp or witty one",Kincaid makes a witty rejoinder,noun,1
Vocabulary Builder,Intermediate Level 1,unremitting,"never relaxing/slackening, incessant",unremitting overcast skies,adjective,1
Vocabulary Builder,Intermediate Level 1,incessant,continuously flowing,the incessant beat of the music,adjective,1
Vocabulary Builder,Intermediate Level 1,lugubrious,looking or sounding sad and dismal,lugubrious music,adjective,1
Vocabulary Builder,Intermediate Level 1,appropriate,take forcefully,Govt appropriated land,verb,1
Vocabulary Builder,Intermediate Level 3,grotesque,comically or repulsively ugly or distorted.,a figure wearing a grotesque mask,adjective,1
