Test,Question,Word,Meaning,Sentence,POS,Deck
Manhattan Test 1,Manhattan Test 1 S2 Q11,appalled,greatly dismayed or horrified,"Alison looked at me, appalled",adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q11,excoriate,criticize (someone) severely,He excoriated the then popular notion that social inequality,verb,1
Manhattan Test 1,Manhattan Test 1 S2 Q11,assail,criticize strongly,,verb,1
Manhattan Test 1,Manhattan Test 1 S2 Q13,flagitious,"criminal, villainous",,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q13,insouciant,showing a casual lack of concern,an insouciant shrug,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q13,pleonasm,the use of more words than are necessary to convey meaning,,noun,1
Manhattan Test 1,Manhattan Test 1 S2 Q13,flippant,not showing a serious or respectful attitude,a flippant remark,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q13,taciturn,"saying little, reserved",after such gatherings she would be taciturn,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q13,loquacious,talkative,"never loquacious, Sarah was now totally lost for words",adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q14,winsome,"attractive or appealing in a fresh, innocent way",a winsome smile,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q14,exiguous,very small in size or amount,sabertooth tigers are exiguous,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q14,garrulous,talkative especially in trivial matters,a garrulous cab driver,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q14,voracious,"1. engaging in an activity with great eagerness
2. wanting great quantity of food","1. a voracious appetite
2. she's a voracious reader",adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q15,deleterious,causing harm or damage,,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q15,unobtrusive,not conspicuous or attracting attention.,the service was unobtrusive and efficient,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q15,discerning,having or showing good judgement.,the saris attracts discerning customers,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q15,dubious,"undecided or doubting, unsure",I was rather dubious about the whole idea,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q15,blunt,"abrupt, direct, insensitive",a blunt statement of fact,adjective,1
Manhattan Test 1,Manhattan Test 1 S2 Q16,conform,"agree, comply with rules",,verb,1
